         2999959 function calls (2905722 primitive calls) in 44.969 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18630   10.129    0.001   14.465    0.001 _methods.py:167(_var)
    13811    9.399    0.001    9.399    0.001 computeshift.py:310(__shifted_array_difference)
   102262    4.567    0.000    4.567    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      488    2.140    0.004    2.140    0.004 {built-in method scipy.interpolate._fitpack._spl_}
    18630    2.112    0.000   16.588    0.001 _methods.py:215(_std)
    14051    2.041    0.000   32.835    0.002 computeshift.py:318(__evalkernel)
      872    1.767    0.002    1.767    0.002 {built-in method scipy.ndimage._nd_image.correlate1d}
      244    1.213    0.005   39.643    0.162 computeshift.py:128(search)
   223962    1.207    0.000    1.209    0.000 {built-in method numpy.array}
    63367    1.181    0.000    1.840    0.000 fromnumeric.py:73(_wrapreduction)
      672    0.917    0.001    0.917    0.001 {warpAffine}
    14184    0.818    0.000    0.835    0.000 fitpack2.py:1101(__init__)
      241    0.720    0.003    0.720    0.003 {method 'partition' of 'numpy.ndarray' objects}
      218    0.676    0.003    0.676    0.003 overlap.py:16(setalignmentinfo)
      763    0.474    0.001    0.627    0.001 computeshift.py:349(mse)
      436    0.380    0.001    0.389    0.001 dtype.py:57(convert)
    28569    0.353    0.000    0.406    0.000 <__array_function__ internals>:2(result_type)
192087/101992    0.341    0.000   21.922    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      241    0.295    0.001    0.295    0.001 computeshift.py:314(__shifted_array_average)
    27840    0.278    0.000    0.669    0.000 numeric.py:2244(within_tol)
    63367    0.244    0.000    0.244    0.000 {method 'items' of 'dict' objects}
    15160    0.200    0.000   33.050    0.002 function_base.py:2082(func)
    27840    0.184    0.000    3.177    0.000 numeric.py:2167(isclose)
    13811    0.162    0.000    4.627    0.000 computeshift.py:278(__shifted_arrays)
      109    0.157    0.001    0.994    0.009 overlap.py:110(shiftclip)
    84491    0.155    0.000    0.155    0.000 {built-in method builtins.abs}
     1441    0.148    0.000    0.148    0.000 socket.py:342(send)
     3157    0.142    0.000    0.142    0.000 {method 'acquire' of '_thread.lock' objects}
      485    0.140    0.000    0.140    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      218    0.128    0.001    2.781    0.013 computeshift.py:100(__init__)
    55680    0.115    0.000    0.270    0.000 _ufunc_config.py:39(seterr)
      732    0.109    0.000   33.229    0.045 function_base.py:2063(__call__)
      336    0.108    0.000    1.810    0.005 computeshift.py:352(shiftimg)
    55680    0.099    0.000    0.104    0.000 _ufunc_config.py:139(geterr)
    43528    0.088    0.000    0.088    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    55680    0.083    0.000    0.238    0.000 {method 'all' of 'numpy.generic' objects}
    19393    0.078    0.000    0.082    0.000 _methods.py:50(_count_reduce_items)
