         2870646 function calls (2775656 primitive calls) in 41.841 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19500   10.551    0.001   13.693    0.001 computeshift.py:345(mse)
    13958    9.286    0.001    9.286    0.001 computeshift.py:306(__shifted_array_difference)
    84184    3.012    0.000    3.012    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      480    2.261    0.005    2.261    0.005 {built-in method scipy.interpolate._fitpack._spl_}
    14253    2.219    0.000   29.090    0.002 computeshift.py:314(__evalkernel)
      872    1.811    0.002    1.811    0.002 {built-in method scipy.ndimage._nd_image.correlate1d}
   206818    1.250    0.000    1.252    0.000 {built-in method numpy.array}
      240    1.224    0.005   36.640    0.153 computeshift.py:124(search)
      666    0.947    0.001    0.947    0.001 {warpAffine}
    14348    0.903    0.000    0.917    0.000 fitpack2.py:1101(__init__)
      236    0.747    0.003    0.747    0.003 {method 'partition' of 'numpy.ndarray' objects}
    63812    0.739    0.000    1.526    0.000 fromnumeric.py:73(_wrapreduction)
      218    0.675    0.003    0.675    0.003 overlap.py:16(setalignmentinfo)
    15308    0.434    0.000   29.537    0.002 function_base.py:2082(func)
    28850    0.391    0.000    0.441    0.000 <__array_function__ internals>:2(result_type)
    63812    0.359    0.000    0.359    0.000 {method 'items' of 'dict' objects}
193530/102682    0.349    0.000    8.060    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      720    0.328    0.000   29.931    0.042 function_base.py:2063(__call__)
      236    0.298    0.001    0.298    0.001 computeshift.py:310(__shifted_array_average)
    28134    0.279    0.000    0.657    0.000 numeric.py:2244(within_tol)
      436    0.268    0.001    0.278    0.001 dtype.py:57(convert)
    28134    0.188    0.000    2.957    0.000 numeric.py:2167(isclose)
      218    0.175    0.001    2.763    0.013 computeshift.py:96(__init__)
    13958    0.173    0.000    4.449    0.000 computeshift.py:274(__shifted_arrays)
    85351    0.163    0.000    0.163    0.000 {built-in method builtins.abs}
      109    0.160    0.001    1.035    0.009 overlap.py:110(shiftclip)
    19500    0.148    0.000    3.009    0.000 _methods.py:134(_mean)
      476    0.145    0.000    0.145    0.000 {method 'flatten' of 'numpy.ndarray' objects}
    56268    0.112    0.000    0.263    0.000 _ufunc_config.py:39(seterr)
      333    0.109    0.000    1.873    0.006 computeshift.py:348(shiftimg)
    56268    0.097    0.000    0.103    0.000 _ufunc_config.py:139(geterr)
      881    0.094    0.000    0.094    0.000 socket.py:342(send)
    44004    0.088    0.000    0.088    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     2360    0.084    0.000    0.087    0.000 numeric.py:1277(normalize_axis_tuple)
    19500    0.083    0.000    0.087    0.000 _methods.py:50(_count_reduce_items)
     1937    0.080    0.000    0.080    0.000 {method 'acquire' of '_thread.lock' objects}
    56268    0.077    0.000    0.238    0.000 {method 'all' of 'numpy.generic' objects}
    19500    0.072    0.000    3.081    0.000 fromnumeric.py:3231(mean)
    20369    0.071    0.000    0.114    0.000 fitpack2.py:800(__call__)
      219    0.067    0.000    0.069    0.000 {method 'writerow' of '_csv.writer' objects}
      333    0.056    0.000    0.359    0.001 fromnumeric.py:1903(shape)
    56504    0.054    0.000    1.398    0.000 fromnumeric.py:2324(all)
   122025    0.043    0.000    0.155    0.000 _asarray.py:88(asanyarray)
    56504    0.038    0.000    1.533    0.000 <__array_function__ internals>:2(all)
    14348    0.038    0.000    1.085    0.000 computeshift.py:339(makespline)
      109    0.037    0.000   39.447    0.362 computeshift.py:5(computeshift)
    43044    0.035    0.000    0.086    0.000 fromnumeric.py:1693(ravel)
    31204    0.033    0.000    0.033    0.000 {built-in method numpy.zeros}
    56268    0.031    0.000    0.031    0.000 {built-in method numpy.seterrobj}
    19500    0.031    0.000    3.142    0.000 <__array_function__ internals>:2(mean)
   130448    0.029    0.000    0.029    0.000 {built-in method builtins.isinstance}
      236    0.029    0.000    1.053    0.004 function_base.py:3352(_ureduce)
    28134    0.027    0.000    3.019    0.000 <__array_function__ internals>:2(isclose)
    63812    0.027    0.000    0.027    0.000 fromnumeric.py:74(<dictcomp>)
    28134    0.025    0.000    0.032    0.000 _ufunc_config.py:437(__init__)
    28134    0.025    0.000    0.183    0.000 _ufunc_config.py:441(__enter__)
    28134    0.024    0.000    0.129    0.000 _ufunc_config.py:446(__exit__)
    43044    0.023    0.000    0.130    0.000 <__array_function__ internals>:2(ravel)
      716    0.023    0.000    0.054    0.000 function_base.py:26(linspace)
      720    0.023    0.000   29.601    0.041 function_base.py:2154(_vectorize_call)
   112536    0.022    0.000    0.022    0.000 {built-in method numpy.geterrobj}
        1    0.022    0.022    0.156    0.156 readtable.py:71(writetable)
        2    0.019    0.009    0.019    0.009 {built-in method io.open}
    72415    0.018    0.000    0.018    0.000 {built-in method builtins.getattr}
    56268    0.018    0.000    0.161    0.000 _methods.py:47(_all)
      236    0.016    0.000    1.024    0.004 function_base.py:3846(_quantile_ureduce_func)
      872    0.016    0.000    0.030    0.000 filters.py:136(_gaussian_kernel1d)
    26046    0.014    0.000    0.014    0.000 {built-in method builtins.hasattr}
    49246    0.014    0.000    0.382    0.000 _asarray.py:16(asarray)
      480    0.013    0.000    2.352    0.005 fitpack.py:293(splev)
 4360/218    0.013    0.000    0.044    0.000 dataclasses.py:1067(_asdict_inner)
      109    0.013    0.000   40.542    0.372 overlap.py:22(align)
    49332    0.012    0.000    0.012    0.000 {built-in method builtins.issubclass}
    16420    0.011    0.000    0.011    0.000 {method 'update' of 'dict' objects}
    14348    0.011    0.000    0.015    0.000 index_tricks.py:655(__next__)
     6348    0.010    0.000    0.089    0.000 fromnumeric.py:2236(any)
     4142    0.010    0.000    0.020    0.000 copy.py:132(deepcopy)
     1767    0.009    0.000    0.028    0.000 computeshift.py:162(<lambda>)
    56504    0.009    0.000    0.009    0.000 fromnumeric.py:2320(_all_dispatcher)
    19829    0.008    0.000    0.008    0.000 optimize.py:114(__getattr__)
     6348    0.008    0.000    0.107    0.000 <__array_function__ internals>:2(any)
    57325    0.008    0.000    0.008    0.000 {built-in method builtins.len}
      872    0.008    0.000    1.832    0.002 filters.py:54(correlate1d)
      720    0.008    0.000    4.907    0.007 function_base.py:2093(_get_ufunc_and_otypes)
      236    0.007    0.000    0.018    0.000 fitpack2.py:167(__init__)
     2460    0.007    0.000    0.007    0.000 {built-in method numpy.arange}
      436    0.007    0.000    2.212    0.005 _gaussian.py:29(gaussian)
     1308    0.007    0.000    0.035    0.000 _ni_support.py:71(_get_output)
      480    0.007    0.000    0.008    0.000 stride_tricks.py:116(_broadcast_to)
    29094    0.007    0.000    0.007    0.000 {method 'pop' of 'dict' objects}
      480    0.007    0.000    2.339    0.005 _fitpack_impl.py:527(splev)
      240    0.007    0.000    0.047    0.000 {built-in method scipy.optimize.moduleTNC.minimize}
    28134    0.006    0.000    0.006    0.000 numeric.py:2163(_isclose_dispatcher)
      872    0.006    0.000    1.868    0.002 filters.py:167(gaussian_filter1d)
     1767    0.006    0.000    0.016    0.000 computeshift.py:160(<lambda>)
     1180    0.006    0.000    0.096    0.000 numeric.py:1340(moveaxis)
        1    0.006    0.006   41.841   41.841 alignmentset.py:93(align)
      436    0.006    0.000    1.908    0.004 filters.py:220(gaussian_filter)
      240    0.006    0.000    0.076    0.000 _minimize.py:42(minimize)
      240    0.006    0.000    0.009    0.000 linalg.py:482(inv)
    19500    0.005    0.000    0.005    0.000 fromnumeric.py:3227(_mean_dispatcher)
      480    0.005    0.000    0.029    0.000 linalg.py:2316(norm)
    28733    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    43044    0.005    0.000    0.005    0.000 fromnumeric.py:1689(_ravel_dispatcher)
    15020    0.005    0.000    0.005    0.000 {built-in method builtins.next}
      220    0.005    0.000    0.012    0.000 __init__.py:282(__init__)
      436    0.004    0.000    0.282    0.001 dtype.py:387(img_as_float)
     1152    0.004    0.000    0.012    0.000 {method 'any' of 'numpy.generic' objects}
      109    0.004    0.000    0.235    0.002 overlap.py:36(getinversealignment)
      240    0.004    0.000    0.061    0.000 tnc.py:280(_minimize_tnc)
      240    0.004    0.000    0.006    0.000 stride_tricks.py:39(as_strided)
      720    0.004    0.000    0.004    0.000 {built-in method numpy.frompyfunc}
     1676    0.004    0.000    0.004    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1584    0.003    0.000    0.009    0.000 numerictypes.py:365(issubdtype)
    28850    0.003    0.000    0.003    0.000 multiarray.py:635(result_type)
     2592    0.003    0.000    0.004    0.000 copy.py:252(_keep_alive)
     2592    0.003    0.000    0.003    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
      881    0.003    0.000    0.101    0.000 iostream.py:197(schedule)
     3168    0.003    0.000    0.005    0.000 numerictypes.py:293(issubclass_)
      872    0.003    0.000    0.003    0.000 getlimits.py:497(__init__)
      872    0.003    0.000    0.006    0.000 functools.py:37(update_wrapper)
      236    0.003    0.000    0.005    0.000 function_base.py:1141(diff)
     1440    0.003    0.000    0.003    0.000 _internal.py:830(npy_ctypes_check)
     1192    0.003    0.000    0.003    0.000 {method 'astype' of 'numpy.ndarray' objects}
      240    0.003    0.000    0.019    0.000 function_base.py:4076(meshgrid)
      218    0.003    0.000    0.026    0.000 overlap.py:180(covariance)
      436    0.003    0.000    0.007    0.000 _dtype.py:333(_name_get)
      220    0.003    0.000    0.003    0.000 {built-in method time.localtime}
    13705    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      240    0.002    0.000    0.013    0.000 index_tricks.py:636(__init__)
      480    0.002    0.000    0.098    0.000 fromnumeric.py:2092(sum)
     1767    0.002    0.000    0.046    0.000 tnc.py:370(func_and_grad)
     4578    0.002    0.000    0.005    0.000 dataclasses.py:1031(_is_dataclass_instance)
      109    0.002    0.000    0.034    0.000 overlap.py:66(prepimage)
      480    0.002    0.000    2.355    0.005 fitpack2.py:273(__call__)
      720    0.002    0.000    0.006    0.000 function_base.py:2144(<listcomp>)
      720    0.002    0.000    0.002    0.000 function_base.py:2120(<listcomp>)
      220    0.002    0.000    0.002    0.000 {built-in method time.strftime}
      236    0.002    0.000    0.003    0.000 function_base.py:3833(_quantile_is_valid)
     1352    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1133    0.002    0.000    0.002    0.000 {built-in method builtins.max}
      220    0.002    0.000    0.129    0.001 __init__.py:1002(flush)
     1101    0.002    0.000    0.004    0.000 threading.py:1092(is_alive)
      872    0.002    0.000    0.002    0.000 type_check.py:280(iscomplexobj)
      220    0.002    0.000    0.083    0.000 threading.py:534(wait)
      220    0.002    0.000    0.003    0.000 ntpath.py:178(split)
      220    0.002    0.000    0.004    0.000 __init__.py:1446(findCaller)
      221    0.002    0.000    0.067    0.000 iostream.py:384(write)
     1680    0.002    0.000    0.003    0.000 {built-in method builtins.any}
      429    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
     6348    0.002    0.000    0.002    0.000 fromnumeric.py:2232(_any_dispatcher)
      220    0.002    0.000    0.002    0.000 threading.py:216(__init__)
     1180    0.002    0.000    0.002    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      220    0.002    0.000    0.126    0.001 iostream.py:336(flush)
     4380    0.002    0.000    0.002    0.000 csv.py:152(<genexpr>)
      240    0.002    0.000    0.002    0.000 stride_tricks.py:185(_broadcast_shape)
      240    0.001    0.000    0.013    0.000 stride_tricks.py:206(broadcast_arrays)
      716    0.001    0.000    0.058    0.000 <__array_function__ internals>:2(linspace)
     1308    0.001    0.000    0.002    0.000 _ni_support.py:55(_normalize_sequence)
      872    0.001    0.000    0.010    0.000 {method 'sum' of 'numpy.ndarray' objects}
      220    0.001    0.000    0.206    0.001 __init__.py:1013(emit)
      109    0.001    0.000   39.459    0.362 overlap.py:99(computeshift)
      872    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(iscomplexobj)
      480    0.001    0.000    0.100    0.000 <__array_function__ internals>:2(sum)
      472    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
      220    0.001    0.000    0.208    0.001 __init__.py:1570(callHandlers)
      220    0.001    0.000    0.228    0.001 __init__.py:1368(info)
      480    0.001    0.000    0.002    0.000 shape_base.py:25(atleast_1d)
      218    0.001    0.000    0.002    0.000 function_base.py:2031(__init__)
      220    0.001    0.000    0.006    0.000 __init__.py:528(formatTime)
     1180    0.001    0.000    0.099    0.000 <__array_function__ internals>:2(moveaxis)
      872    0.001    0.000    0.007    0.000 functools.py:492(decorating_function)
     9326    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      113    0.001    0.000    0.001    0.000 {method 'trace' of 'numpy.ndarray' objects}
      480    0.001    0.000    0.009    0.000 fromnumeric.py:2843(prod)
      240    0.001    0.000    0.001    0.000 {method 'argmin' of 'numpy.ndarray' objects}
      266    0.001    0.000    0.001    0.000 {method 'round' of 'numpy.generic' objects}
      480    0.001    0.000    0.002    0.000 six.py:130(callable)
      209    0.001    0.000    0.081    0.000 threading.py:264(wait)
      436    0.001    0.000    0.002    0.000 dtype.py:137(_dtype_itemsize)
     1180    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      720    0.001    0.000    0.013    0.000 function_base.py:2164(<listcomp>)
     2360    0.001    0.000    0.002    0.000 numeric.py:1327(<listcomp>)
      978    0.001    0.000    0.005    0.000 fromnumeric.py:55(_wrapfunc)
      219    0.001    0.000    0.002    0.000 dataclasses.py:1013(fields)
     4380    0.001    0.000    0.001    0.000 dataclasses.py:1028(<genexpr>)
      436    0.001    0.000    0.003    0.000 _dtype.py:319(_name_includes_bit_suffix)
      480    0.001    0.000    0.031    0.000 <__array_function__ internals>:2(norm)
      220    0.001    0.000    0.227    0.001 __init__.py:1491(_log)
      240    0.001    0.000    0.002    0.000 function_base.py:4196(<listcomp>)
     2596    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      236    0.001    0.000    0.001    0.000 {built-in method itertools.tee}
      218    0.001    0.000    0.001    0.000 <string>:2(__init__)
     4360    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      881    0.001    0.000    0.001    0.000 iostream.py:93(_event_pipe)
      220    0.001    0.000    0.009    0.000 __init__.py:595(format)
      716    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(ndim)
      333    0.001    0.000    0.361    0.001 <__array_function__ internals>:2(shape)
      720    0.001    0.000    0.003    0.000 function_base.py:2115(<listcomp>)
     2160    0.001    0.000    0.001    0.000 function_base.py:2116(<genexpr>)
      480    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(atleast_1d)
      225    0.001    0.000    0.001    0.000 ntpath.py:122(splitdrive)
      240    0.001    0.000    0.003    0.000 numeric.py:90(zeros_like)
      219    0.001    0.000    0.001    0.000 csv.py:146(_dict_to_list)
      240    0.001    0.000    0.001    0.000 _minimize.py:799(standardize_constraints)
      480    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(prod)
     1200    0.001    0.000    0.001    0.000 six.py:131(<genexpr>)
      220    0.001    0.000    0.207    0.001 __init__.py:881(handle)
     1101    0.001    0.000    0.002    0.000 threading.py:1050(_wait_for_tstate_lock)
      698    0.001    0.000    0.001    0.000 function_base.py:257(iterable)
      480    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(dot)
      236    0.001    0.000    0.001    0.000 fitpack2.py:205(_reset_class)
      872    0.001    0.000    0.001    0.000 functools.py:458(lru_cache)
      236    0.001    0.000    1.058    0.004 function_base.py:3714(quantile)
