         2519730 function calls (2392930 primitive calls) in 32.173 seconds

   Ordered by: internal time
   List reduced from 2935 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14927   13.091    0.001   13.091    0.001 computeshift.py:345(mse)
    14114    9.306    0.001    9.306    0.001 computeshift.py:306(__shifted_array_difference)
      872    1.871    0.002    1.871    0.002 {built-in method scipy.ndimage._nd_image.correlate1d}
    58063    0.983    0.000    1.745    0.000 fromnumeric.py:73(_wrapreduction)
      218    0.691    0.003    0.691    0.003 overlap.py:16(setalignmentinfo)
   110049    0.637    0.000    0.638    0.000 {built-in method numpy.array}
    61018    0.443    0.000    0.443    0.000 {method 'items' of 'dict' objects}
      218    0.301    0.001    0.301    0.001 {warpAffine}
    28446    0.291    0.000    0.675    0.000 numeric.py:2244(within_tol)
      436    0.282    0.001    0.293    0.001 dtype.py:57(convert)
     1655    0.251    0.000    0.252    0.000 ffi.py:112(__call__)
    28936    0.214    0.000    0.271    0.000 <__array_function__ internals>:2(result_type)
    28446    0.205    0.000    2.982    0.000 numeric.py:2167(isclose)
    14164    0.204    0.000   25.130    0.002 computeshift.py:314(__evalkernel)
121300/33985    0.186    0.000    3.519    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    58935    0.183    0.000    0.183    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      109    0.161    0.001    1.177    0.011 overlap.py:110(shiftclip)
      218    0.137    0.001    3.434    0.016 computeshift.py:96(__init__)
    14805    0.129    0.000   25.275    0.002 function_base.py:2082(func)
    56892    0.113    0.000    0.269    0.000 _ufunc_config.py:39(seterr)
      109    0.106    0.001    0.613    0.006 computeshift.py:349(shiftimg)
      219    0.105    0.000    0.105    0.000 csv.py:146(_dict_to_list)
      245    0.104    0.000    0.116    0.000 stride_tricks.py:206(broadcast_arrays)
    14114    0.102    0.000    3.137    0.000 computeshift.py:274(__shifted_arrays)
    56892    0.100    0.000    0.106    0.000 _ufunc_config.py:139(geterr)
      881    0.094    0.000    0.094    0.000 socket.py:342(send)
    56892    0.084    0.000    0.267    0.000 {method 'all' of 'numpy.generic' objects}
     1951    0.080    0.000    0.080    0.000 {method 'acquire' of '_thread.lock' objects}
      245    0.076    0.000   25.392    0.104 function_base.py:2063(__call__)
      109    0.074    0.001   29.513    0.271 computeshift.py:5(computeshift)
      219    0.073    0.000    0.076    0.000 {method 'writerow' of '_csv.writer' objects}
    56892    0.058    0.000    1.530    0.000 fromnumeric.py:2324(all)
      245    0.051    0.000    0.171    0.001 function_base.py:4076(meshgrid)
     2355    0.050    0.000    0.061    0.000 instructions.py:14(__init__)
    85609    0.042    0.000    0.042    0.000 {built-in method builtins.abs}
    56892    0.041    0.000    1.667    0.000 <__array_function__ internals>:2(all)
    56892    0.033    0.000    0.033    0.000 {built-in method numpy.seterrobj}
    28446    0.029    0.000    3.050    0.000 <__array_function__ internals>:2(isclose)
     2288    0.026    0.000    0.026    0.000 {built-in method numpy.zeros}
      377    0.025    0.000    0.025    0.000 {built-in method nt.stat}
        1    0.025    0.025    0.252    0.252 readtable.py:71(writetable)
    28446    0.025    0.000    0.032    0.000 _ufunc_config.py:437(__init__)
      245    0.025    0.000   25.316    0.103 function_base.py:2154(_vectorize_call)
    58063    0.025    0.000    0.025    0.000 fromnumeric.py:74(<dictcomp>)
       94    0.024    0.000    0.029    0.000 numpy_support.py:346(ufunc_find_matching_loop)
    28446    0.024    0.000    0.186    0.000 _ufunc_config.py:441(__enter__)
    28446    0.023    0.000    0.131    0.000 _ufunc_config.py:446(__exit__)
   113784    0.023    0.000    0.023    0.000 {built-in method numpy.geterrobj}
     6278    0.021    0.000    0.034    0.000 fitpack2.py:800(__call__)
   158765    0.021    0.000    0.027    0.000 {built-in method builtins.isinstance}
       68    0.020    0.000    0.020    0.000 {built-in method io.open}
